workload_type,block_size,journal_modes,io_schedulers,read_ahead_sizes,barriers,noatime_options,commit_intervals,io_engines,mean_latency,bandwidth,iops
read,2048,ordered,bfq,128,on,noatime,5,sync,2.030267441,728177,364088.8889
write,2048,ordered,bfq,128,on,noatime,5,sync,84.25816624,23571,11785.99047
randread,2048,ordered,bfq,128,on,noatime,5,sync,29.84369167,54738,27369.38818
randwrite,2048,ordered,bfq,128,on,noatime,5,sync,86.49448231,22838,11419.41105
rw,2048,ordered,bfq,128,on,noatime,5,sync,7.8137675,79803,39901.7094
randrw,2048,ordered,bfq,128,on,noatime,5,sync,116.2735023,10237,5118.568408
read,2048,ordered,bfq,128,on,noatime,5,libaio,33.61544643,250376,125188.1566
write,2048,ordered,bfq,128,on,noatime,5,libaio,752.9841289,41842,20921.30886
randread,2048,ordered,bfq,128,on,noatime,5,libaio,410.3958494,64000,32000
randwrite,2048,ordered,bfq,128,on,noatime,5,libaio,1213.387741,26169,13084.95558
rw,2048,ordered,bfq,128,on,noatime,5,libaio,88.53979402,87848,43924.05914
randrw,2048,ordered,bfq,128,on,noatime,5,libaio,1777.490387,8879,4439.847836
read,2048,ordered,bfq,128,on,noatime,30,sync,1.503471207,246375,123187.9699
write,2048,ordered,bfq,128,on,noatime,30,sync,54.40070722,36237,18118.88305
randread,2048,ordered,bfq,128,on,noatime,30,sync,27.11442623,60471,30235.75548
randwrite,2048,ordered,bfq,128,on,noatime,30,sync,83.02081012,23796,11898.3297
rw,2048,ordered,bfq,128,on,noatime,30,sync,6.972645848,83686,41843.14981
randrw,2048,ordered,bfq,128,on,noatime,30,sync,133.9412059,8837,4418.537047
read,2048,ordered,bfq,128,on,noatime,30,libaio,36.38956445,110983,55491.95597
write,2048,ordered,bfq,128,on,noatime,30,libaio,1026.823082,30873,15436.57991
randread,2048,ordered,bfq,128,on,noatime,30,libaio,613.5078539,51300,25650.09785
randwrite,2048,ordered,bfq,128,on,noatime,30,libaio,1691.788961,18814,9407.306395
rw,2048,ordered,bfq,128,on,noatime,30,libaio,349.1668285,36739,18369.58966
